_id,Date,Rain,Temp Max,Temp Min
120,30-04-1951,0,40.15999985,22.81999969
121,01-05-1951,0,40.27999878,24.22999954
122,02-05-1951,0,35.25999832,20.14999962
123,03-05-1951,0,35.43000031,20.03000069
124,04-05-1951,0,37.04000092,21.43000031
125,05-05-1951,0,37.58000183,21.47999954
126,06-05-1951,0,38.93000031,23.32999992
127,07-05-1951,0,40.13000107,24.54999924
128,08-05-1951,0,41.02999878,24.19000053
129,09-05-1951,0,41.33000183,22.70000076
130,10-05-1951,0,38.56999969,21.94000053
131,11-05-1951,0,39.47999954,22.48999977
132,12-05-1951,0,41.43999863,22.78000069
133,13-05-1951,0,42.97999954,24.70999908
134,14-05-1951,0,41.93000031,25.62999916
135,15-05-1951,0,38.72000122,24.09000015
136,16-05-1951,0,40.38999939,24.02000046
137,17-05-1951,0,41.22000122,24.31999969
138,18-05-1951,0,42.40999985,24.67000008
139,19-05-1951,0,42.68000031,24.95000076
140,20-05-1951,0,44.75999832,26.89999962
141,21-05-1951,0,45.00999832,27.22999954
142,22-05-1951,0,44.88000107,27.98999977
143,23-05-1951,0,43.59999847,28.85000038
144,24-05-1951,0,41.49000168,25.98999977
145,25-05-1951,0,36.63999939,24.87999916
146,26-05-1951,0,38.15000153,27.07999992
147,27-05-1951,0,40.59000015,26.34000015
148,28-05-1951,0,40.02999878,27.02000046
149,29-05-1951,0,41.81999969,27.22999954
150,30-05-1951,0,41.43999863,26.59000015
151,31-05-1951,0,38.79000092,24.67000008
152,01-06-1951,14.00418186,35.88999939,24.93000031
153,02-06-1951,0,37.45000076,25.54000092
154,03-06-1951,0,39.06999969,24.70999908
155,04-06-1951,0,38.25,25.02000046
156,05-06-1951,0,40.24000168,25.57999992
157,06-06-1951,0,40.74000168,26.02000046
158,07-06-1951,0,43.02000046,28.38999939
159,08-06-1951,0,44.43999863,29.45000076
160,09-06-1951,0,45.11000061,30.59000015
161,10-06-1951,0,44.50999832,30.53000069
162,11-06-1951,0,44.09000015,29.32999992
163,12-06-1951,0,44.79000092,29.32999992
164,13-06-1951,0,44.88000107,29.87000084
165,14-06-1951,1.509943366,43.06000137,30.23999977
166,15-06-1951,1.457410097,39.68000031,24.62000084
167,16-06-1951,0.127264991,35.50999832,22.96999931
168,17-06-1951,0,37.18000031,25.65999985
169,18-06-1951,0,40.34999847,26.60000038
170,19-06-1951,0,41.31999969,25.84000015
171,20-06-1951,0,42.02000046,26.07999992
172,21-06-1951,0,41.97999954,26.44000053
173,22-06-1951,0,43.13000107,26.36000061
174,23-06-1951,0,43.61999893,30.32999992
175,24-06-1951,0,43.68000031,30.07999992
176,25-06-1951,0,43.09000015,29.51000023
177,26-06-1951,0,42.02000046,29.64999962
178,27-06-1951,0,42.58000183,30.01000023
179,28-06-1951,0,37.86999893,28.30999947
180,29-06-1951,0,40.20000076,27.89999962
181,30-06-1951,0,41.25,29.93000031
182,01-07-1951,46.67804718,35.99000168,25.81999969
183,02-07-1951,51.08364868,37.58000183,26.86000061
184,03-07-1951,4.766606808,39.72000122,27.61000061
185,04-07-1951,4.170979023,34.56000137,25.15999985
186,05-07-1951,0,37.47000122,26.29000092
187,06-07-1951,0,39.09000015,26.71999931
188,07-07-1951,0,40.36999893,27.45999908
189,08-07-1951,0,41.18999863,27.95999908
190,09-07-1951,0,40.5,27.79000092
191,10-07-1951,0,38.97000122,28.28000069
192,11-07-1951,0,40.22999954,29.11000061
193,12-07-1951,0,41.63000107,30.43000031
194,13-07-1951,0,39.90000153,30.69000053
195,14-07-1951,0.146362126,38.66999817,26.36000061
196,15-07-1951,0,39.15000153,28.25
197,16-07-1951,0,39.95000076,28.40999985
198,17-07-1951,0,40.83000183,29.64999962
199,18-07-1951,0,40.84000015,30.10000038
200,19-07-1951,0,41.18999863,27.42000008
201,20-07-1951,0,38.29000092,25.77000046
202,21-07-1951,0,36.38999939,26.73999977
203,22-07-1951,1.677714944,35.33000183,26.79999924
204,23-07-1951,4.242621422,35.77000046,26.78000069
205,24-07-1951,6.050181389,35.91999817,27.63999939
206,25-07-1951,2.746225834,37.95999908,27.29000092
207,26-07-1951,0,38.09999847,27.38999939
208,27-07-1951,0,38.09999847,27.45999908
209,28-07-1951,0,35.77000046,28.11000061
210,29-07-1951,0.774548948,36.18000031,25.79999924
211,30-07-1951,38.0925827,31.84000015,24.78000069
212,31-07-1951,0.474415153,33.45000076,25.97999954
213,01-08-1951,0,33.90999985,26.39999962
214,02-08-1951,2.093413115,33.13000107,24.89999962
215,03-08-1951,4.256153584,35.02000046,26.68000031
216,04-08-1951,0.464851469,32.74000168,24.88999939
217,05-08-1951,0,33.90999985,26.61000061
218,06-08-1951,0.141315147,36.65999985,27.51000023
219,07-08-1951,0,35.49000168,26.87999916
220,08-08-1951,0,34.81999969,27.80999947
221,09-08-1951,0,35.06000137,26.95999908
222,10-08-1951,10.40183258,36.11000061,26.17000008
223,11-08-1951,19.27743721,33.88000107,26.26000023
224,12-08-1951,23.70311546,34.95999908,24.45000076
225,13-08-1951,2.264549017,32.31000137,24.61000061
